"id","items_users","items_bsins","items_ccode","items_icode","items_iname","items_brcod","items_hscod","items_notes","items_runit","items_pkqty","items_punit","items_szqty","items_sunit","items_sgrup","items_scatg","items_itype","items_brand","items_tstck","items_smrgn","items_prvat","items_ptvat","items_slvat","items_stvat","items_image","items_stpur","items_stsal","items_stnsf","items_actve","items_crusr","items_crdat","items_upusr","items_updat","items_rvnmr"
"05b08820-f65a-4167-a46b-c91a3f460788","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000003","ITM0000000003","Core i7 14th Gen","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"b07ac8b0-7e0d-4e1d-bde0-93aef138bf17","8f8a7723-8383-420b-9387-75067174042f","a7f3b9b5-3c1f-4c57-bd74-f87be7415b35","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-27 11:03:19.648703","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:31:52.293167",3
"72b23c1b-682b-469e-8a0a-16997929c134","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000002","ITM0000000002","Macbook Air M4","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"b07ac8b0-7e0d-4e1d-bde0-93aef138bf17","8f8a7723-8383-420b-9387-75067174042f","12642c22-18b2-4e71-a4d1-7c3741130443","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-27 10:58:59.617139","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:32:13.987507",3
"9874ee21-b4ce-40c6-ac69-4eeb775ff6b3","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000001","ITM0000000001","Monitor 22 Inch","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"b07ac8b0-7e0d-4e1d-bde0-93aef138bf17","8f8a7723-8383-420b-9387-75067174042f","93a2981f-6e78-45a7-b6d8-d940b3b0ee8e","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-27 10:58:13.976959","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:32:20.377393",2
"a45006af-f563-4ce1-a107-23c4a52571ec","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000005","ITM0000000005","Mouse 1200 DPI Regular","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"b07ac8b0-7e0d-4e1d-bde0-93aef138bf17","8f8a7723-8383-420b-9387-75067174042f","00282190-e070-4694-b536-b88725e5599a","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-27 11:41:50.817332","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:39:33.73797",2
"e1d0ca99-2457-42f0-9850-4e7a19b4d4ad","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000004","ITM0000000004","UPS 1500VA/900W","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"b07ac8b0-7e0d-4e1d-bde0-93aef138bf17","8f8a7723-8383-420b-9387-75067174042f","e5fce402-ae8a-4a94-bb5a-8de72cdd5aff","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-27 11:03:49.302003","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:39:42.808002",4
"31e4435e-f13d-4146-a59f-f62cae48fbbb","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000014","ITM0000000014","Soyabean Oil - Teer, PRAN","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",5,"f555c20d-a1d7-4032-9dd6-1738bc6caaf6","8f8a7723-8383-420b-9387-75067174042f","82baf3d0-1694-4953-a287-6419fa21a348","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:49:50.673608","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:49:50.673608",1
"4390f973-d49c-47fd-8571-032ef672254f","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000010","ITM0000000010","Ball Soap - Chaka Washing Ball Soap","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8","8f8a7723-8383-420b-9387-75067174042f","348a162d-ac3e-4d8a-be12-651d1b50ae88","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:44:57.647648","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-08-15 01:29:18.830255",2
"ffe3aaa7-7aa9-468e-a57c-5838b5319acd","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000011","ITM0000000011","Detergent Powder - Chaka","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"6b0e446c-65ef-40af-aab9-f823f07c1e1d","8f8a7723-8383-420b-9387-75067174042f","348a162d-ac3e-4d8a-be12-651d1b50ae88","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:45:52.771959","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-08-15 01:29:31.534222",3
"232b1e8c-0321-438a-9f17-ce3c10caa933","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000016","ITM0000000016","Dishwash Bar (Small Size)","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8","8f8a7723-8383-420b-9387-75067174042f","348a162d-ac3e-4d8a-be12-651d1b50ae88","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:51:50.369649","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-08-15 01:31:58.753955",2
"9afdcbe5-d306-494a-954d-4211de77b0a9","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000007","ITM0000000007","Soap - COSCO Classic","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",75,"cd50744d-02b6-4ab0-987e-03297b9d6736","8f8a7723-8383-420b-9387-75067174042f","348a162d-ac3e-4d8a-be12-651d1b50ae88","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:42:18.474429","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-08-15 01:32:15.178197",2
"7f18b738-f7a4-46a5-a0df-40b15b0e7dce","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000017","ITM0000000017","Toothpaste (Mediplus) (Big Size)","","","","81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8","8f8a7723-8383-420b-9387-75067174042f","348a162d-ac3e-4d8a-be12-651d1b50ae88","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-07-29 14:52:34.729235","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-08-15 01:32:28.89835",2
"39c33a3d-cb88-4d74-9bf0-de3d0d8d5e31","7d0a6d8b-efae-48a0-a595-15706cf41d2f","4dee378c-acc5-49eb-ab9e-a4e85e1e1903","ITM0000000022","ITM0000000022","Salt","","","","6b0e446c-65ef-40af-aab9-f823f07c1e1d",1,"6b0e446c-65ef-40af-aab9-f823f07c1e1d",1,"81e4e25d-0ddb-403e-9edb-cce6f4e8b3a8","8f8a7723-8383-420b-9387-75067174042f","b35f48d0-9b03-4c2e-9e53-c706592202c3","FG","5f74e958-d07e-4717-8bff-f7bb45a28ff3",True,"0.00","0.00","EXEMPT","0.00","EXEMPT",NULL,False,False,False,True,"6a45d609-f616-4cf8-97a9-8577ff39f753","2026-08-01 07:39:09.320176","6a45d609-f616-4cf8-97a9-8577ff39f753","2026-08-01 07:39:09.320176",1
